amfi_code,scheme_name,alpha_annual,beta,n_obs
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443287,-0.05826843143880886,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,0.0428179203150603,0.0011582183155282452,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.271953545012853,0.005103525830528331,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,0.2139978477605115,0.021086316250127884,1149
101207,ABSL Small Cap Fund - Regular - Growth,0.10897091901704521,-0.065289247883515,1149
101208,ABSL Liquid Fund - Regular - Growth,0.060861457957864774,0.00026670968338229613,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.1704875680341263,-0.01948678568947457,1149
102886,UTI Mid Cap Fund - Regular - Growth,0.028969397866379254,-0.04212502902189416,1149
102887,UTI Flexi Cap Fund - Regular - Growth,0.16211256794033213,0.016682689437770737,1149
118632,Nippon India Large Cap Fund - Regular - Growth,0.2182939790460857,-0.008353832126962035,1149
118633,Nippon India Large Cap Fund - Direct - Growth,0.1564383594816961,-0.03663900671860916,1149
118634,Nippon India Small Cap Fund - Regular - Growth,0.17500721675611194,0.10349663691337538,1149
118635,Nippon India ETF Nifty 50 BeES,0.15136354648239184,-0.0014335213897801388,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.050747729999759995,0.0012566742731554862,1149
119092,Axis Bluechip Fund - Regular - Growth,0.0689952982167752,0.009730745001153574,1149
119093,Axis Bluechip Fund - Direct - Growth,0.08232801295222025,0.025883212440092753,1149
119094,Axis Midcap Fund - Regular - Growth,0.26076669080042136,-0.06626542862803701,1149
119095,Axis Small Cap Fund - Regular - Growth,0.04801595363775957,-0.06695117463929194,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.056208952166382664,-0.006413850728276532,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,0.2320100716063496,-0.031751441138909514,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,0.19868599366862885,-0.026159307513513207,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,0.30336965386983256,-0.023196062044059555,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,0.0488242159455394,0.06200180438267137,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.1770330236584399,-0.04026895236982023,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.21194827013525636,0.016232169761416906,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,0.29263583341750954,0.0005490042506316432,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.16253853279981,0.04189646272811959,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06746210411098824,-0.0004440926329706654,1149
120841,Kotak Bluechip Fund - Regular - Growth,0.13042924450705362,0.036356399022199525,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,0.07804438876154987,0.018056874208118145,1149
120843,Kotak Flexicap Fund - Regular - Growth,0.2733046503830598,-0.02282956979242659,1149
120844,Kotak Liquid Fund - Regular - Growth,0.0645567749537528,-0.00040074423947835796,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531685,0.04882040425957711,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217899,0.00905441262173925,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.26983751441917886,0.023683558075848547,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942273,-0.02638771994384282,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246577,0.01813388408385938,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1317319022609936,-0.004050271130006783,1149
149323,DSP Midcap Fund - Regular - Growth,0.26598577542042906,-0.0025230046646988846,1149
149324,DSP Small Cap Fund - Regular - Growth,0.30057878170976665,0.011455159960520966,1149
