amfi_code,scheme_name,return_3yr_pct,rank_return_3yr,score_return_3yr,sharpe_ratio,rank_sharpe,score_sharpe,alpha,rank_alpha,score_alpha,expense_ratio_pct,rank_expense_inverse,score_expense_ratio,max_drawdown_pct,rank_max_dd_inverse,score_max_drawdown,fund_score_0_100
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,2,97.43589743589743,0.93,14,66.66666666666667,1.13,20,51.28205128205128,0.72,5,89.74358974358975,-24.78,11,74.35897435897436,77.05128205128204
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,7,84.61538461538461,0.96,11,74.35897435897436,1.91,2,97.43589743589743,1.56,26,35.89743589743589,-21.92,16,61.53846153846154,75.00000000000001
101207,ABSL Small Cap Fund - Regular - Growth,22.38,3,94.87179487179486,0.9,17,58.97435897435898,1.84,4,92.3076923076923,1.53,23,43.58974358974359,-23.61,14,66.66666666666667,74.87179487179488
120843,Kotak Flexicap Fund - Regular - Growth,15.65,11,74.35897435897436,0.98,10,76.92307692307692,1.85,3,94.87179487179486,1.45,19,53.84615384615385,-19.5,20,51.28205128205128,73.71794871794872
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1,100.0,0.94,13,69.23076923076923,1.23,18,56.41025641025641,1.43,18,56.41025641025641,-13.35,32,20.512820512820518,69.10256410256412
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,17,58.97435897435898,1.06,7,84.61538461538461,1.62,10,76.92307692307692,1.46,20,51.28205128205128,-17.07,25,38.46153846153846,65.76923076923077
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,8,82.05128205128204,0.95,12,71.7948717948718,0.89,26,35.89743589743589,1.36,14,66.66666666666667,-21.84,18,56.41025641025641,65.38461538461537
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,19,53.84615384615385,0.91,16,61.53846153846154,1.7,9,79.48717948717949,1.52,22,46.15384615384615,-33.15,2,97.43589743589743,64.1025641025641
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,36,10.256410256410254,1.84,4,92.3076923076923,1.98,1,100.0,0.56,2,97.43589743589743,-6.01,34,15.384615384615385,62.30769230769231
119094,Axis Midcap Fund - Regular - Growth,15.18,15,64.1025641025641,0.8,24,41.02564102564102,1.42,14,66.66666666666667,1.38,15,64.1025641025641,-32.38,3,94.87179487179486,61.92307692307692
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,20,51.28205128205128,1.03,8,82.05128205128204,0.88,27,33.333333333333336,0.8,11,74.35897435897436,-26.59,9,79.48717948717949,61.66666666666667
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,35,12.82051282051282,7.68,1,100.0,1.85,3,94.87179487179486,0.74,6,87.17948717948718,-2.62,37,7.692307692307687,61.666666666666664
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,13,69.23076923076923,0.96,11,74.35897435897436,1.79,7,84.61538461538461,1.64,31,23.076923076923073,-12.14,33,17.948717948717952,61.53846153846154
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,24,41.02564102564102,0.96,11,74.35897435897436,1.13,20,51.28205128205128,0.92,13,69.23076923076923,-33.5,1,100.0,61.53846153846153
149323,DSP Midcap Fund - Regular - Growth,17.16,9,79.48717948717949,0.9,17,58.97435897435898,1.02,22,46.15384615384615,1.61,30,25.64102564102564,-26.99,7,84.61538461538461,60.12820512820513
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,14,66.66666666666667,0.8,24,41.02564102564102,0.9,25,38.46153846153846,0.78,9,79.48717948717949,-32.22,4,92.3076923076923,59.10256410256411
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,5,89.74358974358975,0.81,23,43.58974358974359,0.8,30,25.64102564102564,1.53,23,43.58974358974359,-30.87,5,89.74358974358975,58.46153846153846
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,27,33.333333333333336,0.88,18,56.41025641025641,1.7,9,79.48717948717949,0.72,5,89.74358974358975,-18.14,21,48.71794871794872,58.33333333333333
118635,Nippon India ETF Nifty 50 BeES,11.77,32,20.512820512820518,0.91,16,61.53846153846154,1.8,6,87.17948717948718,0.89,12,71.7948717948718,-26.75,8,82.05128205128204,57.94871794871795
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,10,76.92307692307692,0.87,19,53.84615384615385,0.95,23,43.58974358974359,1.38,15,64.1025641025641,-13.67,30,25.64102564102564,57.43589743589744
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,25,38.46153846153846,0.92,15,64.1025641025641,1.82,5,89.74358974358975,1.54,24,41.02564102564102,-21.7,19,53.84615384615385,57.05128205128205
120844,Kotak Liquid Fund - Regular - Growth,6.18,37,7.692307692307687,6.18,2,97.43589743589743,1.52,12,71.7948717948718,0.6,3,94.87179487179486,-3.81,35,12.82051282051282,56.53846153846153
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,18,56.41025641025641,0.98,10,76.92307692307692,0.55,34,15.384615384615385,1.41,16,61.53846153846154,-21.89,17,58.97435897435898,54.358974358974365
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,16,61.53846153846154,1.06,7,84.61538461538461,0.78,31,23.076923076923073,1.55,25,38.46153846153846,-17.41,23,43.58974358974359,54.35897435897435
119095,Axis Small Cap Fund - Regular - Growth,20.98,4,92.3076923076923,0.84,21,48.71794871794872,0.51,36,10.256410256410254,1.38,15,64.1025641025641,-14.45,29,28.205128205128204,54.35897435897435
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,34,15.384615384615385,0.81,23,43.58974358974359,1.78,8,82.05128205128204,0.66,4,92.3076923076923,-24.43,12,71.7948717948718,52.94871794871795
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,22,46.15384615384615,0.98,10,76.92307692307692,1.34,16,61.53846153846154,1.6,29,28.205128205128204,-15.07,28,30.76923076923077,52.69230769230769
119093,Axis Bluechip Fund - Direct - Growth,12.14,29,28.205128205128204,0.87,19,53.84615384615385,1.43,13,69.23076923076923,0.75,7,84.61538461538461,-17.4,24,41.02564102564102,52.56410256410257
102886,UTI Mid Cap Fund - Regular - Growth,15.61,12,71.7948717948718,0.82,22,46.15384615384615,1.12,21,48.71794871794872,1.51,21,48.71794871794872,-13.43,31,23.076923076923073,52.43589743589743
