amfi_code,date,nav
100016,2022-01-03,520.4608
100016,2022-01-04,515.0971
100016,2022-01-05,521.7239
100016,2022-01-06,515.788
100016,2022-01-07,515.1639
100016,2022-01-08,515.1639
100016,2022-01-09,515.1639
100016,2022-01-10,510.7136
100016,2022-01-11,513.5542
100016,2022-01-12,512.3195
100016,2022-01-13,510.2445
100016,2022-01-14,514.3636
100016,2022-01-15,514.3636
100016,2022-01-16,514.3636
100016,2022-01-17,514.7627
100016,2022-01-18,517.3803
100016,2022-01-19,513.1866
100016,2022-01-20,507.1294
100016,2022-01-21,507.871
100016,2022-01-22,507.871
100016,2022-01-23,507.871
100016,2022-01-24,506.7062
100016,2022-01-25,509.7762
100016,2022-01-26,509.68
100016,2022-01-27,510.8661
100016,2022-01-28,503.8641
100016,2022-01-29,503.8641
100016,2022-01-30,503.8641
100016,2022-01-31,512.5903
100016,2022-02-01,512.1124
100016,2022-02-02,515.5386
100016,2022-02-03,512.0153
100016,2022-02-04,513.6729
100016,2022-02-05,513.6729
100016,2022-02-06,513.6729
100016,2022-02-07,508.0666
100016,2022-02-08,510.3595
100016,2022-02-09,509.0223
100016,2022-02-10,509.4161
100016,2022-02-11,512.826
100016,2022-02-12,512.826
100016,2022-02-13,512.826
100016,2022-02-14,507.5435
100016,2022-02-15,504.7492
100016,2022-02-16,507.0506
100016,2022-02-17,516.7872
100016,2022-02-18,516.4246
100016,2022-02-19,516.4246
100016,2022-02-20,516.4246
100016,2022-02-21,519.3918
100016,2022-02-22,519.1698
100016,2022-02-23,528.4118
100016,2022-02-24,520.6004
100016,2022-02-25,521.3038
100016,2022-02-26,521.3038
100016,2022-02-27,521.3038
100016,2022-02-28,514.1489
100016,2022-03-01,503.1674
100016,2022-03-02,504.7495
100016,2022-03-03,505.6316
100016,2022-03-04,504.6233
100016,2022-03-05,504.6233
100016,2022-03-06,504.6233
100016,2022-03-07,504.411
100016,2022-03-08,518.6513
100016,2022-03-09,517.7387
100016,2022-03-10,520.3416
100016,2022-03-11,517.6372
100016,2022-03-12,517.6372
100016,2022-03-13,517.6372
100016,2022-03-14,519.2545
100016,2022-03-15,518.432
100016,2022-03-16,516.825
100016,2022-03-17,525.4534
100016,2022-03-18,531.2109
100016,2022-03-19,531.2109
100016,2022-03-20,531.2109
100016,2022-03-21,532.1264
100016,2022-03-22,521.6911
100016,2022-03-23,520.3011
100016,2022-03-24,533.1283
100016,2022-03-25,532.3194
100016,2022-03-26,532.3194
100016,2022-03-27,532.3194
100016,2022-03-28,537.8012
100016,2022-03-29,544.965
100016,2022-03-30,546.3002
100016,2022-03-31,542.5392
