amfi_code,hhi_sector_concentration,sector_count,portfolio_date,scheme_name
119092,0.206488965728256,7,2025-12-31,Axis Bluechip Fund - Regular - Growth
101207,0.2007405761078158,6,2025-12-31,ABSL Small Cap Fund - Regular - Growth
119599,0.17475095999999998,7,2025-12-31,SBI Small Cap Fund - Direct Plan - Growth
102885,0.17470902,8,2025-12-31,UTI Nifty 50 Index Fund - Regular - Growth
118632,0.1682309009103998,6,2025-12-31,Nippon India Large Cap Fund - Regular - Growth
148568,0.1679633209845637,6,2025-12-31,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120505,0.15750735075940223,7,2025-12-31,ICICI Pru Midcap Fund - Regular - Growth
120506,0.15373210101031184,7,2025-12-31,ICICI Pru Value Discovery Fund - Regular - Growth
125498,0.15241397999999998,6,2025-12-31,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120841,0.14965041841981186,7,2025-12-31,Kotak Bluechip Fund - Regular - Growth
148569,0.14945619650035227,7,2025-12-31,Mirae Asset Tax Saver Fund - Regular - Growth
100033,0.14759225999999998,7,2025-12-31,HDFC Mid-Cap Opportunities Fund - Regular - Growth
149323,0.14162096,7,2025-12-31,DSP Midcap Fund - Regular - Growth
120503,0.14087026,7,2025-12-31,ICICI Pru Bluechip Fund - Regular - Growth
100016,0.13953386,8,2025-12-31,HDFC Top 100 Fund - Regular Plan - Growth
148567,0.13861189099207952,6,2025-12-31,Mirae Asset Large Cap Fund - Regular - Growth
125497,0.13658554,7,2025-12-31,HDFC Top 100 Fund - Direct Plan - Growth
119094,0.13637863290963176,6,2025-12-31,Axis Midcap Fund - Regular - Growth
118635,0.13597134290886834,6,2025-12-31,Nippon India ETF Nifty 50 BeES
149322,0.13442485362647677,7,2025-12-31,DSP Top 100 Equity Fund - Regular - Growth
119093,0.13089424,8,2025-12-31,Axis Bluechip Fund - Direct - Growth
102887,0.12977899290362935,6,2025-12-31,UTI Flexi Cap Fund - Regular - Growth
101206,0.12930586753343465,7,2025-12-31,ABSL Frontline Equity Fund - Regular - Growth
120843,0.12868306000000002,9,2025-12-31,Kotak Flexicap Fund - Regular - Growth
120842,0.12746430158567412,8,2025-12-31,Kotak Emerging Equity Fund - Regular - Growth
118633,0.12146086,7,2025-12-31,Nippon India Large Cap Fund - Direct - Growth
119551,0.11871551999999999,8,2025-12-31,SBI Bluechip Fund - Regular Plan - Growth
149324,0.11867710000000001,9,2025-12-31,DSP Small Cap Fund - Regular - Growth
102886,0.11473873090281189,10,2025-12-31,UTI Mid Cap Fund - Regular - Growth
119095,0.10962727435859898,8,2025-12-31,Axis Small Cap Fund - Regular - Growth
120504,0.10865241842978987,8,2025-12-31,ICICI Pru Bluechip Fund - Direct - Growth
118634,0.10835772,8,2025-12-31,Nippon India Small Cap Fund - Regular - Growth
119552,0.1079890911018887,7,2025-12-31,SBI Bluechip Fund - Direct Plan - Growth
119598,0.10737042301089794,7,2025-12-31,SBI Small Cap Fund - Regular Plan - Growth
