investor_id,sip_tx_count,avg_gap_days,at_risk,max_gap_days
INV000566,7,35.0,ok,119
INV003772,9,34.5,ok,72
INV000707,9,34.375,ok,106
INV003382,6,34.2,ok,85
INV004246,7,34.166666666666664,ok,64
INV004927,7,34.166666666666664,ok,63
INV001672,9,34.0,ok,130
INV004542,7,34.0,ok,59
INV003650,11,33.9,ok,86
INV002509,10,33.666666666666664,ok,74
INV002092,7,33.5,ok,54
INV002037,6,33.2,ok,61
INV002388,6,33.2,ok,84
INV003678,6,32.8,ok,45
INV000785,6,32.6,ok,66
INV000930,8,32.42857142857143,ok,118
INV002810,8,32.285714285714285,ok,139
INV000624,7,31.666666666666668,ok,53
INV000935,9,30.875,ok,73
INV004356,6,30.8,ok,81
INV003828,7,30.666666666666668,ok,109
INV001775,8,29.142857142857142,ok,65
INV000750,9,26.5,ok,84
INV001099,8,26.142857142857142,ok,63
INV000334,7,25.5,ok,60
INV002298,6,23.2,ok,37
INV002705,8,22.571428571428573,ok,70
INV002374,6,21.2,ok,34
INV004701,7,20.0,ok,82
INV001822,6,19.8,ok,43
INV001890,6,102.6,at-risk,207
INV001156,6,102.4,at-risk,175
INV004296,6,102.2,at-risk,304
INV003325,6,101.0,at-risk,155
INV000522,6,100.8,at-risk,309
INV000608,6,100.2,at-risk,324
INV001883,6,99.2,at-risk,203
INV002166,6,99.2,at-risk,248
INV001367,6,99.0,at-risk,222
INV001491,6,98.8,at-risk,260
INV004454,6,98.4,at-risk,311
INV002873,6,98.2,at-risk,235
INV003684,6,98.2,at-risk,229
INV001237,6,98.0,at-risk,182
INV001769,6,98.0,at-risk,166
INV000437,6,97.8,at-risk,295
INV001141,6,97.6,at-risk,132
INV001304,6,97.6,at-risk,177
INV002558,6,97.6,at-risk,297
INV000318,6,97.4,at-risk,175
INV000380,6,97.0,at-risk,272
INV001070,6,97.0,at-risk,329
INV001190,6,97.0,at-risk,198
INV002395,6,97.0,at-risk,225
INV002912,6,97.0,at-risk,342
INV004143,6,97.0,at-risk,280
INV001013,6,96.8,at-risk,164
